node1,node2,Layer
OMA03598,OMA04005,Regulatory
OMA03616,OMA04005,Regulatory
OMA02723,OMA00715,Regulatory
OMA03240,OMA00715,Regulatory
OMA03415,OMA00715,Regulatory
OMA03598,OMA00715,Regulatory
OMA03616,OMA00715,Regulatory
OMA02470,OMA00120,Metabolic
OMA02470,OMA00146,Metabolic
OMA02622,OMA02470,Metabolic
OMA04005,OMA02470,Metabolic
OMA02723,OMA02470,Regulatory
OMA03240,OMA02470,Regulatory
OMA03415,OMA02470,Regulatory
OMA03598,OMA02470,Regulatory
OMA03616,OMA02470,Regulatory
OMA00286,OMA02470,PPI
OMA02723,OMA05367,Regulatory
OMA03240,OMA05367,Regulatory
OMA03415,OMA05367,Regulatory
OMA03598,OMA05367,Regulatory
OMA03616,OMA05367,Regulatory
OMA01319,OMA01720,Regulatory
OMA03453,OMA01720,Regulatory
OMA05381,OMA01720,Regulatory
OMA01319,OMA00568,Regulatory
OMA03453,OMA00568,Regulatory
OMA05381,OMA00568,Regulatory
OMA00613,OMA00568,PPI
OMA02723,OMA03415,Regulatory
OMA03164,OMA03415,Regulatory
OMA03240,OMA03415,Regulatory
OMA03415,OMA00715,Regulatory
OMA03415,OMA02444,Regulatory
OMA03415,OMA02470,Regulatory
OMA03415,OMA03415,Regulatory
OMA03415,OMA04005,Regulatory
OMA03415,OMA05367,Regulatory
OMA03598,OMA03415,Regulatory
OMA03616,OMA03415,Regulatory
OMA03415,OMA02541,PPI
OMA00903,OMA01072,Metabolic
OMA00903,OMA01174,Metabolic
OMA01129,OMA00903,Metabolic
OMA01199,OMA00903,Metabolic
OMA03453,OMA00903,Regulatory
OMA03568,OMA00903,Regulatory
OMA05381,OMA00903,Regulatory
OMA03658,OMA03658,PPI
OMA03200,OMA02306,Metabolic
OMA03200,OMA03108,Metabolic
OMA03200,OMA03472,Metabolic
OMA03779,OMA03200,PPI
OMA03200,OMA03472,Metabolic
OMA03472,OMA02306,Metabolic
OMA03472,OMA03108,Metabolic
OMA03108,OMA02306,Metabolic
OMA03200,OMA03108,Metabolic
OMA03472,OMA03108,Metabolic
OMA03568,OMA03108,Regulatory
OMA01200,OMA03108,PPI
OMA04471,OMA03108,PPI
OMA03108,OMA02306,Metabolic
OMA03200,OMA02306,Metabolic
OMA03472,OMA02306,Metabolic
OMA02306,OMA02306,PPI
OMA02364,OMA00401,Regulatory
OMA02364,OMA01163,Regulatory
OMA02364,OMA04414,Regulatory
OMA03312,OMA00598,Metabolic
OMA00174,OMA00598,PPI
OMA00598,OMA02110,PPI
OMA02079,OMA00598,PPI
OMA00598,OMA00598,PPI
OMA01570,OMA01079,Metabolic
OMA02190,OMA01079,Metabolic
OMA02619,OMA01079,Metabolic
OMA02969,OMA01079,Metabolic
OMA00237,OMA00267,Metabolic
OMA01895,OMA00237,Regulatory
OMA03205,OMA00237,Regulatory
OMA03395,OMA00237,Regulatory
OMA04467,OMA00237,Regulatory
OMA00607,OMA01123,Metabolic
OMA01465,OMA01123,Metabolic
OMA03656,OMA01123,Metabolic
OMA01123,OMA04419,PPI
OMA02468,OMA01123,PPI
OMA01123,OMA01123,PPI
OMA02468,OMA01123,PPI
OMA04419,OMA01123,PPI
OMA01123,OMA01123,PPI
OMA00468,OMA04729,Metabolic
OMA03137,OMA04729,Metabolic
OMA05068,OMA04729,Metabolic
OMA04729,OMA00468,PPI
OMA04729,OMA03137,PPI
OMA04729,OMA05068,PPI
OMA03137,OMA04729,PPI
OMA04729,OMA04729,PPI
OMA05068,OMA04729,PPI
OMA00468,OMA05068,Metabolic
OMA03137,OMA05068,Metabolic
OMA05068,OMA04729,Metabolic
OMA03240,OMA05068,Regulatory
OMA04467,OMA05068,Regulatory
OMA04729,OMA05068,PPI
OMA03137,OMA05068,PPI
OMA05068,OMA04729,PPI
OMA05068,OMA05068,PPI
OMA00468,OMA04729,Metabolic
OMA00468,OMA05068,Metabolic
OMA03137,OMA00468,Metabolic
OMA03240,OMA00468,Regulatory
OMA04467,OMA00468,Regulatory
OMA01200,OMA00468,PPI
OMA03137,OMA00468,PPI
OMA04729,OMA00468,PPI
OMA00468,OMA05454,PPI
OMA03137,OMA00468,PPI
OMA03137,OMA00468,Metabolic
OMA03137,OMA04729,Metabolic
OMA03137,OMA05068,Metabolic
OMA03240,OMA03137,Regulatory
OMA04467,OMA03137,Regulatory
OMA03137,OMA00468,PPI
OMA04729,OMA03137,PPI
OMA03137,OMA00468,PPI
OMA03137,OMA04729,PPI
OMA03137,OMA05068,PPI
OMA02613,OMA01547,Metabolic
OMA03240,OMA01547,Regulatory
OMA04467,OMA01547,Regulatory
OMA02613,OMA01547,PPI
OMA02613,OMA01547,PPI
OMA01547,OMA01547,PPI
OMA01547,OMA02613,PPI
OMA02613,OMA01547,Metabolic
OMA03240,OMA02613,Regulatory
OMA04467,OMA02613,Regulatory
OMA02613,OMA01547,PPI
OMA02613,OMA04823,PPI
OMA00380,OMA02613,PPI
OMA02613,OMA01547,PPI
OMA04823,OMA02613,PPI
OMA01547,OMA02613,PPI
OMA03061,OMA00683,Metabolic
OMA03061,OMA01203,Metabolic
OMA04661,OMA03061,PPI
OMA03061,OMA03061,PPI
OMA01906,OMA01822,Regulatory
